city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Ilulissat,GL,1600396161,30.2,1,54,2.24,69.22,-51.1
Imbituva,BR,1600396214,57.51,100,97,1.9,-25.23,-50.6
Inta,RU,1600396157,38.86,96,90,11.95,66.03,60.17
Iqaluit,CA,1600395901,35.6,40,59,14.99,63.75,-68.51
Irricana,CA,1600396244,63.0,0,56,4.0,51.32,-113.6
Isangel,VU,1600396017,80.6,75,78,11.41,-19.55,169.27
Isiro,CD,1600396199,66.56,76,98,1.14,2.77,27.62
Isla Vista,US,1600396185,75.99,74,82,1.01,34.41,-119.86
Istanbul,TR,1600396241,69.8,40,88,2.24,41.04,28.98
Ixtapa,MX,1600396234,78.8,90,94,3.36,20.7,-105.2
Jalu,LY,1600396195,73.8,0,70,9.75,29.03,21.55
Jamestown,US,1600396108,57.0,75,87,9.17,42.1,-79.24
Jasper,US,1600396059,64.0,1,72,4.7,37.2,-94.35
Jiangyin,CN,1600396142,66.99,100,83,2.86,31.93,120.31
Jiayuguan City,CN,1600395984,64.51,0,24,7.11,39.82,98.3
Kaeo,NZ,1600396154,57.99,100,3,11.99,-35.1,173.78
Kahului,US,1600396127,89.6,20,46,19.46,20.89,-156.47
Kaitangata,NZ,1600396055,50.0,100,63,18.99,-46.28,169.85
Kalabo,ZM,1600396128,78.66,93,34,5.66,-14.97,22.68
Kalga,RU,1600396260,53.6,100,69,12.21,50.93,118.9
Kamaishi,JP,1600396158,77.0,75,83,5.82,39.27,141.88
Kapaa,US,1600396068,86.0,40,62,13.87,22.08,-159.32
Karratha,AU,1600396091,77.99,0,30,22.12,-20.74,116.85
Katangli,RU,1600396140,61.72,36,86,6.85,51.71,143.23
Katherine,AU,1600396249,91.4,75,38,1.12,-14.47,132.27
Kathmandu,NP,1600396101,71.6,75,100,2.24,27.72,85.32
Katsuura,JP,1600396110,89.6,75,62,28.86,35.13,140.3
Kattivākkam,IN,1600396147,84.2,75,70,9.17,13.22,80.32
Kavaratti,IN,1600396035,82.44,100,80,22.12,10.57,72.64
Kavieng,PG,1600396176,84.0,100,75,9.31,-2.57,150.8
Kemijärvi,FI,1600396218,40.5,100,82,9.91,66.71,27.43
Kenai,US,1600396109,59.0,90,47,14.99,60.55,-151.26
Kerman,IR,1600396183,55.4,0,37,4.7,30.28,57.08
Ketchikan,US,1600396139,62.6,90,77,5.82,55.34,-131.65
Khanpur,PK,1600396196,90.5,0,47,12.24,28.65,70.66
Khatanga,RU,1600396127,54.75,76,62,14.9,71.97,102.5
Khovd,MN,1600396219,62.67,42,29,2.48,48.01,91.64
Kichera,RU,1600396255,56.52,1,53,2.59,55.94,110.1
Kieta,PG,1600396036,83.14,100,71,5.12,-6.22,155.63
Kifrī,IQ,1600396233,81.81,0,15,4.23,34.7,44.97
Kilindoni,TZ,1600396133,75.67,11,82,11.07,-7.91,39.67
Kingman,US,1600396226,95.0,1,10,9.17,35.19,-114.05
Kingston,JM,1600396064,84.2,20,74,6.93,18.0,-76.79
Kirakira,SB,1600396157,83.21,100,78,13.67,-10.45,161.92
Kirksville,US,1600396107,59.0,1,82,5.82,40.19,-92.58
Kisaran,ID,1600396236,86.05,93,69,2.62,2.98,99.62
Kisesa,TZ,1600396156,60.58,56,52,6.62,-3.08,34.15
Kiunga,PG,1600396138,89.6,94,60,2.21,-6.12,141.29
Klaksvík,FO,1600396111,50.0,95,100,13.87,62.23,-6.59
Kodinsk,RU,1600396250,58.12,99,55,9.57,58.69,99.18
Korem,ET,1600396174,54.18,0,72,1.34,12.51,39.52
Koumac,NC,1600396218,76.03,10,68,13.47,-20.57,164.28
Kozhva,RU,1600396142,39.38,100,83,8.34,65.11,57.05
Krasnosel'kup,RU,1600396257,50.16,33,74,9.75,65.7,82.47
Krasnyy Chikoy,RU,1600396174,53.96,0,60,2.3,50.36,108.75
Kropotkin,RU,1600396197,59.4,14,59,4.52,45.44,40.58
Kruisfontein,ZA,1600396166,49.12,0,88,4.36,-34.0,24.73
Kuching,MY,1600396197,87.8,20,74,5.82,1.55,110.33
Kulhudhuffushi,MV,1600396032,82.38,34,77,17.0,6.62,73.07
Kumluca,TR,1600396243,82.65,0,45,3.22,36.37,30.29
Kumul,CN,1600396175,74.79,0,17,9.4,42.8,93.45
Kununurra,AU,1600396174,95.0,76,32,9.17,-15.77,128.73
Kupino,RU,1600396216,50.67,92,80,8.9,54.37,77.3
Kushiro,JP,1600396198,64.4,75,100,5.82,42.98,144.37
Kwang Binh,VN,1600396133,83.93,100,82,24.61,17.48,106.6
Kāsaragod,IN,1600396260,75.2,90,94,5.53,12.5,75.0
La Paz,BO,1600396176,39.2,75,93,10.29,-16.5,-68.15
Lagoa,PT,1600396162,70.34,97,84,16.64,39.05,-27.98
Lagos,NG,1600396138,73.71,61,93,3.24,6.58,3.75
Laguna,US,1600396219,80.6,1,39,13.87,38.42,-121.42
Lamu,KE,1600396242,75.2,40,94,4.7,-2.27,40.9
Lapua,FI,1600396132,36.0,5,92,1.12,62.97,23.01
Lascahobas,HT,1600396188,80.6,3,78,3.36,18.83,-71.94
Lata,PT,1600396229,60.01,55,95,3.74,40.16,-8.33
Laurel,US,1600396172,69.01,90,88,1.48,39.1,-76.85
Lavrentiya,RU,1600396100,47.3,100,73,11.45,65.58,-171.0
Le Port,RE,1600396245,68.0,4,64,12.75,-20.94,55.29
Lebu,CL,1600395966,48.79,1,84,12.88,-37.62,-73.65
Leeton,AU,1600396248,75.2,100,50,14.99,-34.57,146.4
Leningradskiy,RU,1600396150,33.73,100,92,17.98,69.38,178.42
Lermontovka,RU,1600396137,63.37,30,76,8.34,47.15,134.34
